club_missing;suggested_match;similarity;countries_considered
Akron Togliatti;Akron Togliatti;100.0;RUS
BW Linz;BW Linz;100.0;AUT
Baltika;Baltika;100.0;RUS
Falkirk;Falkirk;100.0;SCO
Dynamo Makhachkala;Dynamo Makhachkala;100.0;RUS
Colchester;Colchester;100.0;ENG
Corona Brasov;Corona Brasov;100.0;ROM
Doncaster;Doncaster;100.0;ENG
Cardiff;Cardiff;100.0;ENG
Chindia Targoviste;Chindia Targoviste;100.0;ROM
Bristol City;Bristol City;100.0;ENG
Burton;Burton;100.0;ENG
Brighton;Brighton;100.0;ENG
Brentford;Brentford;100.0;ENG
Bournemouth;Bournemouth;100.0;ENG
Blackpool;Blackpool;100.0;ENG
Queen of Sth;Queen of Sth;100.0;SCO
Rakow;Rakow;100.0;POL
Reading;Reading;100.0;ENG
Ranheim;Ranheim;100.0;NOR
Reggiana;Reggiana;100.0;ITA
Rovaniemi;Rovaniemi;100.0;FIN
Ross County;Ross County;100.0;SCO
Rotherham;Rotherham;100.0;ENG
Tambov;Tambov;100.0;RUS
Southend;Southend;100.0;ENG
Swansea;Swansea;100.0;ENG
Stoke;Stoke;100.0;ENG
Sochi;Sochi;100.0;RUS
Oxford;Oxford;100.0;ENG
Partick;Partick;100.0;SCO
Plymouth;Plymouth;100.0;ENG
Mariehamn;Mariehamn;100.0;FIN
Luton;Luton;100.0;ENG
Milton Keynes Dons;Milton Keynes Dons;100.0;ENG
Millwall;Millwall;100.0;ENG
Mjondalen;Mjondalen;100.0;NOR
Motor Lublin;Motor Lublin;100.0;POL
Nott'm Forest;Nott'm Forest;100.0;ENG
Orenburg;Orenburg;100.0;RUS
Peterboro;Peterboro;100.0;ENG
Jerv;Jerv;100.0;NOR
Hull;Hull;100.0;ENG
Helsingor;Helsingor;100.0;DEN
Hartberg;Hartberg;100.0;AUT
Hamilton;Hamilton;100.0;SCO
Hobro;Hobro;100.0;DEN
Gretna;Gretna;100.0;SCO
Tosno;Tosno;100.0;RUS
Scunthorpe;Scunthorpe;100.0;ENG
Stal Mielec;Stal Mielec;100.0;POL
Vestsjaelland;Vestsjaelland;100.0;DEN
Vendsyssel;Vendsyssel;100.0;DEN
Zawisza;Zawisza;100.0;POL
Yeovil;Yeovil;100.0;ENG
Unirea Slobozia;Unirea Slobozia;100.0;ROM
Wycombe;Wycombe;100.0;ENG
Yenisey;Yenisey;100.0;RUS
Ufa;Ufa;100.0;RUS
Wigan;Wigan;100.0;ENG
Krylya Sovetov;Kryliya Sovetov;96.55172413793103;RUS
Kaiserslautern ;Kaiserslautern;96.55172413793103;GER
Trelleborgs;Trelleborg;95.23809523809523;SWE
Graafschap ;Graafschap;95.23809523809523;NED
Norrkoping;Norrkoeping;95.23809523809523;SWE
Atvidabergs;Atvidaberg;95.23809523809523;SWE
