club_missing;suggested_match;similarity;countries_considered
A. Klagenfurt;Klagenfurt;95.0;AUT
A. Lustenau;Lustenau;95.0;AUT
AC Oulu;Inter Turku;41.53846153846154;FIN
AFC Eskilstuna;Eskilstuna;95.0;SWE
AFC Wimbledon;Wimbledon;95.0;ENG
Academica Clinceni;Clinceni;90.0;ROM
Accrington;Luton;67.5;ENG
Airdrie;Aberdeen;53.333333333333336;SCO
Airdrie Utd;St Mirren;57.0;SCO
Ajaccio GFCO;Ajaccio;90.0;FRA
Ajax ;Ajax;95.0;NED
Akhmat Grozny;Terek Grozny;64.0;RUS
Akron Togliatti;Akron Togliatti;100.0;RUS
Albion Rvs;Ross County;45.23809523809524;SCO
Aldershot;Bolton;45.0;ENG
Alloa;Motherwell;51.42857142857142;SCO
Amkar;Amkar Perm;90.0;RUS
Andorra;Andorra CF;95.0;ESP
Ankaragucu;Ankaraguecue;90.9090909090909;TUR
Annan Athletic;Celtic;72.0;SCO
Arbroath;Queen of Sth;38.57142857142858;SCO
Arka Gdynia;Arka;90.0;POL
Arsenal Tula;Tula;90.0;RUS
Athens Kallithea;Kalithea;78.75;GRE
Atvidabergs;Atvidaberg;95.23809523809523;SWE
Austria Vienna;Austria Wien;84.61538461538461;AUT
Ayr;Aberdeen;45.0;SCO
BW Linz;BW Linz;100.0;AUT
Baltika;Baltika;100.0;RUS
Barnet;Barnsley;71.42857142857143;ENG
Barrow;West Brom;57.0;ENG
Berwick;Partick;57.14285714285714;SCO
Blackpool;Blackpool;100.0;ENG
Bodo/Glimt;Bodoe Glimt;85.71428571428572;NOR
Bonnyrigg Rose;Ross County;53.2;SCO
Boston;Bolton;83.33333333333334;ENG
Bournemouth;Bournemouth;100.0;ENG
Brage;Atvidaberg;51.42857142857142;SWE
Brechin;Gretna;46.15384615384615;SCO
Brentford;Brentford;100.0;ENG
Brighton;Brighton;100.0;ENG
Bristol City;Bristol City;100.0;ENG
Bristol Rvs;Bristol City;73.88888888888889;ENG
Bromley;Burnley;71.42857142857143;ENG
Burton;Burton;100.0;ENG
Bury;Burnley;77.14285714285715;ENG
CS Turnu Severin;Turnu Severin;95.0;ROM
